A;B;C;D;E;F;G;H;I;J
16,875568616048252;71,03475863117362;75,7294475499249;6,739078952611766;49,66632025498847;74,10585040608689;53,33113211720462;39,13565044493432;5,80719677302829;53,90383554380185
69,89939343520652;3,849315006918308;48,98130381750292;49,049536272524264;50,36592524154441;91,17619421527655;30,913574561584134;80,22719696797566;96,96725647265268;49,80782775908254
25,00542292265553;94,00683638542453;82,72127635756496;27,356723680325512;12,46587658043885;8,967366454895787;52,5965334575896;27,620913159444925;8,06904623743706;24,389724287716895
23,020878626507756;33,38285652222378;75,9198235833346;36,53194360769441;41,79391656286895;16,941476898734287;31,090203921879144;74,00574226907605;33,185693137738106;17,498243949225145
89,38923206088731;80,90490575018913;42,71324752451363;53,87042858366795;53,390568312459585;74,61781407105242;37,55683556875368;18,020511470456324;25,11128135937073;20,78646817660864
52,20039382530567;19,295669629893975;16,615935796749824;84,40550732313233;39,11202762456997;51,19555129716956;69,72653204435308;41,83633399991731;66,92941613119685;15,956789114459236
78,31939135441786;18,70724537531775;59,86393141564579;0,4618338024932167;26,041961399095847;58,86294256353393;70,41849557122956;72,66792404676676;31,114422442967538;99,95328854552726
64,17698121068318;93,75586045592222;35,41042498034037;27,809158453438155;34,348178079218805;87,9756224787142;60,682349630017775;32,92691130350837;27,597628307786636;45,048141340574965
71,4204962319229;43,55897862346671;77,00125406607971;55,208659991565575;71,28374378754559;78,21752774386148;81,10742374538832;23,395964065754438;18,19447333214985;8,932393617489097
31,044121490334298;36,7929974355218;69,43294889640003;71,34743603541676;5,491774678755224;96,0305407683726;97,44944308504753;72,76760147866547;69,17171953781794;80,06758191165314
79,65465914903639;48,26733092778457;41,975625071125634;23,073686014806306;73,4588024808524;63,90253923448176;88,34405047215411;7,787123111291228;99,90561144258355;46,17495095572437
70,50077404951772;6,96506252958452;8,537334285317987;73,0318705589263;35,15778882184731;93,52998805685273;35,146767080427885;58,013370562683754;65,77487738710231;63,39248741607446
68,17728940546932;29,328126924487485;23,3665920086619;52,715357066947114;7,618678017926839;54,01257091597835;57,188420812074895;82,06400737957438;22,67789568260602;67,71729772460687
86,32438505603788;44,595418498489906;34,345002795221255;35,17268056649776;79,85491763011991;60,83233100613704;17,67854580407634;38,42637455197237;6,303331911343468;5,613034037186049
12,721478067529768;64,79102981715013;10,684856680221088;64,48294438985748;91,62736164935808;29,24201880446169;94,9796097227229;28,6831744952761;46,1367463278512;91,69934659195043
37,07543563393864;7,594677849488207;39,20505353629535;27,368630021270622;93,35228802280206;38,70661423605043;37,70968004390646;98,38268645526657;61,96772542766884;57,69508643596968
6,0915195224128915;35,71437361588694;67,09062645500612;34,54377632750582;86,30396060569045;95,34504460849963;31,26297657764232;90,07118869605178;83,11862998158738;88,12211782529661
83,68976869271462;13,850558263509106;40,827394702359754;27,80593223965363;94,23563160480035;88,75859199314282;19,472454604949895;0,029513647073875493;94,95588110706167;34,816300458003056
37,778727022200584;17,73042979808066;67,251112664483;42,10653780173125;85,87545762780756;7,733461367850136;48,37962662125784;78,62057240342507;12,044621375282262;25,359889757933384
93,90847937470889;71,32182580971975;32,85283770233845;51,79736650157396;77,73518650612017;21,972397754982197;39,95641540830379;23,936209255459882;66,41392631652195;57,112304592784724
54,39741292694315;62,77094097864578;90,75941867251959;23,490493516706245;43,30771653275377;16,88996289373178;26,339067915241042;11,117809396629685;85,90335083217636;8,890334186520244
4,433499145966191;42,285122973889024;17,59988929309195;55,62199301297519;79,90110800414033;81,01191181433335;5,899395694858467;23,386105529986178;95,8510117275009;32,217782474645
23,677699247355243;82,65895790602144;61,265391042082605;24,908795242649838;96,99780287734995;67,17158848928958;82,0241017404149;97,93175437477137;87,98019708198605;88,37837067677961
65,54285408014134;94,40112726126567;25,823009149574595;65,03442458987803;64,5801863459786;40,48348090562407;38,69261690319307;28,058335483203912;75,6985204028234;57,21437245594807
59,28986391939189;24,803431073726212;59,66183891588012;86,91498601845079;70,62795052069575;78,45235313142517;47,15189661926159;73,69904985859344;98,80287057581418;57,52349897479634
44,56126236023066;30,49313340570712;94,1659271099538;83,22983035840257;69,33089723297832;46,38320491227598;7,485945959668417;20,00903142029361;25,013664028063122;2,6223771513479877
58,245936604818496;52,99552426134417;68,67812343931189;15,427677835997489;99,6078487310057;19,528273575458023;11,579966174811629;68,24267853995809;50,70057201496194;20,74109630877745
58,80457095134241;8,695097499072768;16,75231216372577;24,667817069739062;31,191820477459387;36,25443215281413;51,59342101345475;67,94697902646112;76,3581839010847;56,6823939532917
19,49193205607811;44,148889466387175;15,198426656082454;44,90776313357038;51,57532325122989;29,010633315804068;94,96823774173929;18,59942239089395;9,68234189842505;52,07548162688058
29,951473098100777;19,92694707134115;5,7321520029194994;45,09236752836958;88,62016500128387;94,1973108269567;74,05520615307637;23,455914437558746;88,0139204532026;47,30334790739005
9,164448073224218;16,682378920590512;44,95141091482986;21,994358063583885;50,636905754043404;2,619372506313522;54,53946805172689;46,20366261479079;42,57659088863659;74,2686587392356
